Source,Destination,Distance
Dhaka,Gazipur,35
Dhaka,Narayanganj,20
Dhaka,Munshiganj,30
Dhaka,Manikganj,65
Dhaka,Narsingdi,55
Gazipur,Tangail,55
Gazipur,Mymensingh,60
Gazipur,Narsingdi,40
Gazipur,Narayanganj,45
Tangail,Jamalpur,70
Tangail,Mymensingh,65
Tangail,Manikganj,60
Tangail,Sirajganj,65
Manikganj,Rajbari,55
Manikganj,Faridpur,70
Munshiganj,Narayanganj,25
Munshiganj,Shariatpur,35
Munshiganj,Chandpur,45
Narayanganj,Narsingdi,35
Narsingdi,Kishoreganj,55
Narsingdi,Brahmanbaria,60
Kishoreganj,Netrokona,45
Kishoreganj,Mymensingh,55
Kishoreganj,Habiganj,70
Kishoreganj,Brahmanbaria,65
Kishoreganj,Sunamganj,90
Gopalganj,Faridpur,35
Gopalganj,Madaripur,30
Gopalganj,Narail,55
Gopalganj,Bagerhat,70
Faridpur,Rajbari,25
Faridpur,Madaripur,35
Faridpur,Magura,45
Faridpur,Shariatpur,55
Rajbari,Kushtia,55
Rajbari,Pabna,80
Madaripur,Shariatpur,25
Shariatpur,Chandpur,50
Cumilla,Brahmanbaria,55
Cumilla,Chandpur,50
Cumilla,Noakhali,65
Cumilla,Feni,60
Brahmanbaria,Habiganj,50
Chandpur,Lakshmipur,45
Chandpur,Noakhali,55
Noakhali,Lakshmipur,30
Noakhali,Feni,40
Lakshmipur,Feni,45
Lakshmipur,Bhola,30
Feni,Chattogram,75
Chattogram,Khagrachari,75
Chattogram,Rangamati,75
Chattogram,Cox's Bazar,150
Khagrachari,Rangamati,65
Khagrachari,Cumilla,85
Khagrachari,Feni,80
Rangamati,Bandarban,90
Bandarban,Cox's Bazar,90
Rajshahi,Naogaon,55
Rajshahi,Natore,35
Rajshahi,Chapainawabganj,45
Chapainawabganj,Naogaon,65
Naogaon,Natore,45
Naogaon,Bogura,65
Naogaon,Jaipurhat,55
Natore,Pabna,55
Natore,Sirajganj,65
Pabna,Sirajganj,50
Sirajganj,Bogura,55
Sirajganj,Jamalpur,85
Bogura,Jaipurhat,40
Bogura,Gaibandha,55
Bogura,Rangpur,100
Jaipurhat,Gaibandha,55
Jaipurhat,Dinajpur,85
Khulna,Bagerhat,40
Khulna,Satkhira,55
Khulna,Narail,65
Bagerhat,Pirojpur,55
Satkhira,Jashore,55
Jashore,Narail,30
Jashore,Jhenaidah,45
Jashore,Magura,50
Narail,Magura,35
Magura,Jhenaidah,40
Jhenaidah,Kushtia,45
Jhenaidah,Chuadanga,40
Kushtia,Chuadanga,40
Kushtia,Meherpur,65
Chuadanga,Meherpur,35
Barishal,Jhalokati,30
Barishal,Pirojpur,55
Barishal,Bhola,65
Barishal,Patuakhali,55
Jhalokati,Pirojpur,35
Pirojpur,Barguna,65
Patuakhali,Barguna,45
Sylhet,Sunamganj,65
Sylhet,Moulvibazar,60
Sylhet,Habiganj,65
Sunamganj,Netrokona,90
Sunamganj,Habiganj,65
Habiganj,Moulvibazar,45
Rangpur,Gaibandha,35
Rangpur,Kurigram,55
Rangpur,Nilphamari,50
Rangpur,Lalmonirhat,65
Rangpur,Dinajpur,65
Gaibandha,Kurigram,55
Kurigram,Lalmonirhat,45
Lalmonirhat,Nilphamari,55
Nilphamari,Dinajpur,55
Nilphamari,Panchagarh,90
Dinajpur,Thakurgaon,45
Dinajpur,Panchagarh,75
Thakurgaon,Panchagarh,35
Mymensingh,Jamalpur,45
Mymensingh,Sherpur,40
Mymensingh,Netrokona,50
Jamalpur,Sherpur,35
